link,text,user,likes,retweets,comments
https://twitter.com/andy_crypto05/status/1901413873795604624#m,If you ever think you’re having a bad day 🤣🤣,Andy,0,0,0
https://twitter.com/llandoniffirg/status/1900092742715294043#m,Check this out!   It's a little funny!  🤣🤣🤣🤣🤣🤣🤣🤣,LAnDo NIFFIRG™️🇨🇦,2758,589,125
https://twitter.com/Element_Crypto8/status/1901413872126570784#m,is real bro??   373vDec7Uk5FiL4aLk2Bj62RhjfL6fUTDmRJocMAsLGz,Crypto_Zukii🔥,0,0,0
https://twitter.com/CryptoRegen8/status/1901413871925039306#m,Jin woo is the goat,Regen 8,0,0,0
https://twitter.com/BGTF_Crofam/status/1901413871912399132#m,"Follow the link, they real cheap",BadGasTravelsFast.crypto,0,0,0
https://twitter.com/Jaybo_metax/status/1901413871295893506#m,"Pwease go up, pwetty pwease crypto",Jaybo,0,0,0
https://twitter.com/Askor_de_reve/status/1901031727952523621#m,"Vous trouvez ça mignon, moi j'y vois l'exploitation extrême de la classe ouvrière........ Mbref........",Askor,29305,2100,28
https://twitter.com/CryptoKvon/status/1901413868716560433#m,"Tiktok coins are so boring, “video is funny, to the moon” no substance, no lasting legacy what so ever  Give me a 20 year old cartoon that originated in some argentinian 4chan that has mutated into a global beacon for conveying every possible human emotion  Picardía",K V O N ❤️‍🔥,0,0,0
https://twitter.com/sandydylan/status/1901413867986805224#m,🙊🙈🙉👀,CRYPTO SAL,0,0,0
https://twitter.com/RoostakeCom/status/1901271703746986276#m,"🚀 RooStake – One of the fastest-growing online crypto gaming platforms! 🎰✨  Join our community today and get 10 FREE SPINS on Sweet Bonanza just for signing up! 🍭🔥  Play with your favorite cryptocurrencies: $BTC, $ETH, $USDT, $TRX, $SHIB, $SOL & more! 💰💎  👉 Sign up now & start spinning! 🎯 roostake.com #CryptoCasino #Casino #PlayToWin #BitcoinGaming #Ethereum #Solana #USDT #SweetBonanza",RooStake,3510,3947,34
